"idGrupo";"uriGrupo";"nomeGrupo";"membro_idlegislatura";"membro_ordem_entrada";"membro_datainicio";"membro_datafim";"membro_nome";"membro_tipo";"membro_uri";"membro_cargo"
"6";"https://dadosabertos.camara.leg.br/api/v2/grupos/6";"Brasil/Argélia";"57";"10";"2023-08-30T00:00:00";"";"MÁRCIO JERRY";"Deputado(a)";"https://dadosabertos.camara.leg.br/api/v2/deputados/81055";""
"7";"https://dadosabertos.camara.leg.br/api/v2/grupos/7";"Brasil/Argentina";"57";"0";"2023-02-10T00:00:00";"";"ARLINDO CHINAGLIA";"Deputado(a)";"https://dadosabertos.camara.leg.br/api/v2/deputados/73433";"Presidente"
"7";"https://dadosabertos.camara.leg.br/api/v2/grupos/7";"Brasil/Argentina";"57";"1";"2024-06-20T00:00:00";"";"CLODOALDO MAGALHÃES";"Deputado(a)";"https://dadosabertos.camara.leg.br/api/v2/deputados/88256";""
"7";"https://dadosabertos.camara.leg.br/api/v2/grupos/7";"Brasil/Argentina";"57";"2";"2023-02-10T00:00:00";"";"HELDER SALOMÃO";"Deputado(a)";"https://dadosabertos.camara.leg.br/api/v2/deputados/178873";""
"7";"https://dadosabertos.camara.leg.br/api/v2/grupos/7";"Brasil/Argentina";"57";"3";"2023-02-10T00:00:00";"";"MARIA DO ROSÁRIO";"Deputado(a)";"https://dadosabertos.camara.leg.br/api/v2/deputados/74398";""
"8";"https://dadosabertos.camara.leg.br/api/v2/grupos/8";"Brasil/Argentina/Uruguai/Paraguai";"57";"0";"2023-02-10T00:00:00";"";"ARLINDO CHINAGLIA";"Deputado(a)";"https://dadosabertos.camara.leg.br/api/v2/deputados/73433";"Presidente"
"8";"https://dadosabertos.camara.leg.br/api/v2/grupos/8";"Brasil/Argentina/Uruguai/Paraguai";"57";"1";"2023-02-10T00:00:00";"";"HELDER SALOMÃO";"Deputado(a)";"https://dadosabertos.camara.leg.br/api/v2/deputados/178873";""
"8";"https://dadosabertos.camara.leg.br/api/v2/grupos/8";"Brasil/Argentina/Uruguai/Paraguai";"57";"2";"2023-02-10T00:00:00";"";"MARIA DO ROSÁRIO";"Deputado(a)";"https://dadosabertos.camara.leg.br/api/v2/deputados/74398";""
"9";"https://dadosabertos.camara.leg.br/api/v2/grupos/9";"Brasil/Armênia";"57";"0";"2023-02-02T00:00:00";"";"MILTON VIEIRA";"Deputado(a)";"https://dadosabertos.camara.leg.br/api/v2/deputados/154178";"Presidente"
"9";"https://dadosabertos.camara.leg.br/api/v2/grupos/9";"Brasil/Armênia";"57";"1";"2024-08-22T00:00:00";"";"ARNALDO JARDIM";"Deputado(a)";"https://dadosabertos.camara.leg.br/api/v2/deputados/141391";"1º Vice-Presidente"
"9";"https://dadosabertos.camara.leg.br/api/v2/grupos/9";"Brasil/Armênia";"57";"22";"2023-07-05T00:00:00";"";"MÁRCIO MARINHO";"Deputado(a)";"https://dadosabertos.camara.leg.br/api/v2/deputados/150418";""
"9";"https://dadosabertos.camara.leg.br/api/v2/grupos/9";"Brasil/Armênia";"57";"9";"2023-07-05T00:00:00";"";"DAVID SOARES";"Deputado(a)";"https://dadosabertos.camara.leg.br/api/v2/deputados/204511";""
"9";"https://dadosabertos.camara.leg.br/api/v2/grupos/9";"Brasil/Armênia";"57";"14";"2023-07-05T00:00:00";"";"GILBERTO ABRAMO";"Deputado(a)";"https://dadosabertos.camara.leg.br/api/v2/deputados/204491";""
"9";"https://dadosabertos.camara.leg.br/api/v2/grupos/9";"Brasil/Armênia";"57";"11";"2023-07-05T00:00:00";"";"DIEGO GARCIA";"Deputado(a)";"https://dadosabertos.camara.leg.br/api/v2/deputados/178929";""
"9";"https://dadosabertos.camara.leg.br/api/v2/grupos/9";"Brasil/Armênia";"57";"15";"2023-07-05T00:00:00";"";"HUGO MOTTA";"Deputado(a)";"https://dadosabertos.camara.leg.br/api/v2/deputados/160674";""
"9";"https://dadosabertos.camara.leg.br/api/v2/grupos/9";"Brasil/Armênia";"57";"4";"2023-07-05T00:00:00";"";"ALEXANDRE GUIMARÃES";"Deputado(a)";"https://dadosabertos.camara.leg.br/api/v2/deputados/220542";""
"9";"https://dadosabertos.camara.leg.br/api/v2/grupos/9";"Brasil/Armênia";"57";"16";"2023-07-05T00:00:00";"";"JEFERSON RODRIGUES";"Deputado(a)";"https://dadosabertos.camara.leg.br/api/v2/deputados/220567";""
"9";"https://dadosabertos.camara.leg.br/api/v2/grupos/9";"Brasil/Armênia";"57";"24";"2023-07-05T00:00:00";"";"MURILO GALDINO";"Deputado(a)";"https://dadosabertos.camara.leg.br/api/v2/deputados/220584";""
"9";"https://dadosabertos.camara.leg.br/api/v2/grupos/9";"Brasil/Armênia";"57";"5";"2023-07-05T00:00:00";"";"ALUISIO MENDES";"Deputado(a)";"https://dadosabertos.camara.leg.br/api/v2/deputados/178881";""
