"uriOrgao";"siglaOrgao";"nomeOrgao";"nomePublicacaoOrgao";"uriDeputado";"nomeDeputado";"siglaPartido";"siglaUF";"cargo";"dataInicio";"dataFim"
"https://dadosabertos.camara.leg.br/api/v2/orgaos/539387";"CPASF";"Comissão de Previdência, Assistência Social, Infância, Adolescência e Família";"Comissão de Previdência, Assistência Social, Infância, Adolescência e Família";"https://dadosabertos.camara.leg.br/api/v2/deputados/74856";"Laura Carneiro";"PSD";"RJ";"Titular";"2023-03-15";"2024-02-04"
"https://dadosabertos.camara.leg.br/api/v2/orgaos/539387";"CPASF";"Comissão de Previdência, Assistência Social, Infância, Adolescência e Família";"Comissão de Previdência, Assistência Social, Infância, Adolescência e Família";"https://dadosabertos.camara.leg.br/api/v2/deputados/74856";"Laura Carneiro";"PSD";"RJ";"Titular";"2024-03-06";""
"https://dadosabertos.camara.leg.br/api/v2/orgaos/539387";"CPASF";"Comissão de Previdência, Assistência Social, Infância, Adolescência e Família";"Comissão de Previdência, Assistência Social, Infância, Adolescência e Família";"https://dadosabertos.camara.leg.br/api/v2/deputados/139285";"Lídice da Mata";"PSB";"BA";"Suplente";"2023-03-15";"2024-02-04"
"https://dadosabertos.camara.leg.br/api/v2/orgaos/539387";"CPASF";"Comissão de Previdência, Assistência Social, Infância, Adolescência e Família";"Comissão de Previdência, Assistência Social, Infância, Adolescência e Família";"https://dadosabertos.camara.leg.br/api/v2/deputados/139285";"Lídice da Mata";"PSB";"BA";"Suplente";"2024-03-06";""
"https://dadosabertos.camara.leg.br/api/v2/orgaos/539387";"CPASF";"Comissão de Previdência, Assistência Social, Infância, Adolescência e Família";"Comissão de Previdência, Assistência Social, Infância, Adolescência e Família";"https://dadosabertos.camara.leg.br/api/v2/deputados/74585";"Lincoln Portela";"PL";"MG";"Titular";"2024-06-25";""
"https://dadosabertos.camara.leg.br/api/v2/orgaos/539387";"CPASF";"Comissão de Previdência, Assistência Social, Infância, Adolescência e Família";"Comissão de Previdência, Assistência Social, Infância, Adolescência e Família";"https://dadosabertos.camara.leg.br/api/v2/deputados/178931";"Luciano Ducci";"PSB";"PR";"Titular";"2024-03-06";""
"https://dadosabertos.camara.leg.br/api/v2/orgaos/539387";"CPASF";"Comissão de Previdência, Assistência Social, Infância, Adolescência e Família";"Comissão de Previdência, Assistência Social, Infância, Adolescência e Família";"https://dadosabertos.camara.leg.br/api/v2/deputados/220604";"Marcos Tavares";"PDT";"RJ";"Suplente";"2023-03-15";"2023-09-27"
"https://dadosabertos.camara.leg.br/api/v2/orgaos/539387";"CPASF";"Comissão de Previdência, Assistência Social, Infância, Adolescência e Família";"Comissão de Previdência, Assistência Social, Infância, Adolescência e Família";"https://dadosabertos.camara.leg.br/api/v2/deputados/220604";"Marcos Tavares";"PDT";"RJ";"Suplente";"2023-09-27";"2024-02-04"
"https://dadosabertos.camara.leg.br/api/v2/orgaos/539387";"CPASF";"Comissão de Previdência, Assistência Social, Infância, Adolescência e Família";"Comissão de Previdência, Assistência Social, Infância, Adolescência e Família";"https://dadosabertos.camara.leg.br/api/v2/deputados/178843";"Marx Beltrão";"PP";"AL";"Suplente";"2023-03-15";"2024-02-04"
"https://dadosabertos.camara.leg.br/api/v2/orgaos/539387";"CPASF";"Comissão de Previdência, Assistência Social, Infância, Adolescência e Família";"Comissão de Previdência, Assistência Social, Infância, Adolescência e Família";"https://dadosabertos.camara.leg.br/api/v2/deputados/220591";"Meire Serafim";"UNIÃO";"AC";"Suplente";"2023-03-15";"2024-02-04"
